date,t,Tau_Motor,Tau_1,Tau_2,vel,encoder_count,mode,level,turn,period,push_leg,degree,phase,Tau_Motor_deriv,Tau_1_deriv,Tau_2_deriv,vel_deriv
10:4:25 - 27/11/2024,17.203,3.4,28.88,14.46,24.63,11340,Active,1,11,50,L,235.51401869158877,3,0.01800000000000118,0.0616666666666675,-0.7608333333333344,-0.10000000000000102
10:4:25 - 27/11/2024,17.322,3.46,28.96,13.64,24.63,11460,Active,1,11,50,L,253.86576040781648,3,0.01800000000000118,0.06833333333333487,-0.7591666666666681,-1.3672396548258802e-15
10:4:25 - 27/11/2024,17.403,3.46,29.02,13.01,24.63,11541,Active,1,11,50,L,266.2531860662702,3,0.020000000000001183,0.059999999999999026,-0.4650000000000004,0.3099999999999991
10:4:25 - 27/11/2024,17.525,3.46,29.08,12.73,25.25,11670,Active,1,11,50,L,285.98130841121497,3,0.014000000000001123,0.05166666666666853,-0.10333333333333322,0.9249999999999993
10:4:25 - 27/11/2024,17.643,3.5,29.12,12.76,26.48,11800,Active,1,11,50,L,305.8623619371283,3,0.015000000000001068,0.030000000000002296,0.09500000000000067,1.564999999999998
10:4:25 - 27/11/2024,17.735,3.51,29.14,12.88,28.38,11909,Active,1,11,50,L,322.5318606627018,3,0.011000000000001064,0.008333333333333685,0.1783333333333343,2.5649999999999977
10:4:25 - 27/11/2024,17.931,3.51,29.14,13.07,31.61,12154,Active,1,11,50,L,360.0,4,0.002000000000001112,0.009166666666667423,0.060833333333333475,1.6149999999999984
10:4:25 - 27/11/2024,17.967,3.51,29.14,13.07,31.61,12201,Active,1,11,51,R,0.0,1,1.1102230246251565e-15,-0.0674999999999986,0.22000000000000108,0.1499999999999986
10:4:25 - 27/11/2024,18.052,3.51,29.01,13.55,31.91,12307,Active,1,11,51,R,17.259158751696067,1,0.004000000000001114,-0.12083333333333296,0.5241666666666678,-1.825000000000001
10:4:25 - 27/11/2024,18.172,3.51,28.91,14.08,27.96,12438,Active,1,11,51,R,38.588873812754414,1,-0.019999999999998797,-0.12000000000000041,0.6691666666666674,-3.845000000000002
10:4:25 - 27/11/2024,18.293,3.53,28.75,14.86,24.22,12554,Active,1,11,51,R,57.47625508819539,1,-0.03299999999999881,-0.21583333333333282,0.7608333333333347,-2.390000000000002
